Respondent ID,Time_in_Minutes,Q1_LA_Cnty,Q2_Follow_Sports,Q3_Three_Words_1,Q3_Three_Words_2,Q3_Three_Words_3,Q4_2024_2028,Q5_Withdrawn_Bids,Q6_Over_Budget,Q7_Overruns,Q8_Rising_Rent,Q9_Displacement,Q10_NSSE,Q11_Rank_1,Q11_Rank_2,Q11_Rank_3,Q11_Rank_4,Q11_Rank_5,Q12_Institutions_City_Council,Q12_Institutions_Trump,Q12_Institutions_USOC,Q12_Institutions_IOC,Q12_Institutions_LA2028,Q13_Impact_LA,Q14_Impact_Your_Life,Q15_Impact_Change,Q16_Supportive,Age,Gender,HH_Income,Bad_Response_Flag
10213969376,45.47,1,2,Legacy,Sweeps,Doping,2,2,5,2,5,4,5,5,3,4,2,1,2,1,2,2,3,They'll sweep away all the homeless folks and we might have debt to pay off :>{,2,2,1,,,,0
10214046570,1.42,1,3,,,,2,2,3,,3,3,,,,,,,,,,,,,,,,,,,1
10215502732,6.58,1,4,Athletes,Corruption,Displacement,3,2,5,2,5,5,5,5,4,3,1,2,2,1,1,1,1,"I think the Olympics will increase displacement and police militarization, and make this city even more unlivable than it already is. I believe it will only strengthen the exploitation and erasure of the unhoused, working class and minority communities in the city.",2,1,1,,,,0
10216314491,4.52,1,4,Long,Popular,Congestion,4,2,5,2,5,5,5,5,3,4,1,2,3,1,1,1,2,Negative,2,3,1,,,,0
10216458116,3.22,1,3,Rio,Pollution,Sports,4,,,,,,,,,,,,,,,,,,,,,,,,0
10222961054,1.53,2,2,Usain,Bolt,100,1,2,1,2,1,1,1,1,2,3,4,5,3,3,3,3,3,,3,3,3,2,1,9,0
10222961258,3.5,2,1,Soccer,Brazil,Volleyball,1,2,1,2,5,4,3,5,1,3,4,,4,4,4,4,4,IDK,3,3,3,3,2,4,0
10222961481,8.6,2,3,Ice Skating ,Gymnastics ,Gold Medals ,2,2,2,2,5,5,3,3,,2,1,4,3,2,3,3,4,Hoping for s positive impact,3,2,2,5,2,11,0
10222961634,5.7,1,3,Challenge ,Peace,Competition ,3,2,2,2,4,4,2,4,2,1,3,5,3,2,4,4,4,"It will bring a lot of tourists to the area, but it will affect the living of current residents ",2,2,3,3,2,3,0
10222962180,3.68,1,2,Sport,Game,Ability,3,1,2,1,1,4,3,1,3,2,4,5,3,3,2,1,4,It is fun,2,1,2,3,2,2,0
10222962523,4.68,2,1,The torch,,,1,2,1,2,1,3,3,3,1,2,4,5,2,4,2,2,2,A lot of disruption.,3,2,3,4,2,5,0
10222962870,6.48,2,2,Global,Amateur,Young,2,2,4,2,4,3,4,5,1,2,4,3,2,1,2,2,2,Significant negative impact to residents that will end up footing the bill. Not worth the public relations. ,1,1,1,3,2,11,0
10222963284,5.15,2,1,Competitive,Professional ,Hot male olympians,2,2,1,2,2,4,1,1,2,3,4,5,3,3,3,4,3,,3,3,5,3,1,4,0
10222963416,10.82,2,3,International ,Fair ,Play ,1,2,2,3,2,2,1,5,2,1,4,3,3,1,4,4,3,,3,3,4,5,1,5,0
10222963627,1.97,2,2,Usa,Gymnastics ,Running ,2,2,3,2,2,2,2,1,2,3,4,5,2,3,2,2,2,None ,2,2,2,3,2,8,0
10222963829,2.62,1,1,Gymnastics,Swimming,Skating,3,1,3,2,3,3,3,3,2,4,1,5,4,1,3,4,4,Tourism,3,3,4,4,2,6,0
10222964700,5.8,2,3,Michael Phelps ,Gymnastics ,Swimming ,2,2,3,2,5,5,3,4,2,3,1,5,1,1,3,3,1,Heavy Traffic and higher rents ,1,1,1,2,2,2,0
10222966168,3.2,1,3,Unity ,World Peace,Sportmanship,3,3,3,1,3,2,5,,,,,,,,,,,,,,,,,,0
10222966832,5.18,1,2,Coliseum ,Eric Garcetti ,America,3,3,3,2,4,4,2,4,2,3,1,5,3,2,3,3,3,Unsure what but definitely noticeable/ big,2,3,4,3,2,5,0
10222968167,8.28,2,4,Running,Swimming,Snowboard ,1,2,1,2,3,2,3,2,,,1,3,0,4,3,3,3,"I don’t know, I’m not into that kind of stuff",3,3,3,3,2,4,0
10222968186,5.88,2,4,Collisium,Rings ,Running ,1,2,4,2,4,4,4,5,1,2,3,4,3,1,1,1,1,Initial influx of tourist money with a long lasting burden to residents ,2,1,1,2,1,4,0
10222968269,1.45,2,2,Countries,Glory ,Gold,1,2,4,2,,,,,,,,,,,,,,,,,,,,,0
10222968796,7.97,2,2,Triumphant ,Loyalty ,Limits,1,2,2,2,1,3,4,4,1,3,2,5,3,3,3,3,3,Maybe it will help an area needing help like the projects ,3,3,2,3,2,6,0
10222968899,5.93,1,3,Gymnastics ,Swimming ,Ice skating ,1,2,3,2,2,5,3,5,2,3,1,4,0,1,2,2,2,It will make it worse for the homeless ,1,1,1,3,2,11,0
10222970746,4.03,1,1,Swimming ,Countries,America,2,2,3,3,3,4,2,5,2,3,1,4,3,1,4,4,5,Increase traffic,3,3,3,2,2,1,0
10222973632,3.1,2,2,Boring,Body,Mind,1,2,2,3,1,1,1,1,2,3,4,5,0,5,3,3,3,Idk,1,3,1,3,1,7,0
10222974361,5.17,2,2,Competitive ,Exciting ,Rewarding ,1,2,3,2,5,5,5,1,2,5,3,4,1,1,1,1,1,It’s going to make LA a more poor city than it already is ,2,1,1,2,2,3,0
10222974674,5.22,2,2,Sportsmanship,Team work,USA winning,1,3,4,2,3,4,5,5,4,1,2,3,3,1,5,5,5,"Lot's of tourists, money and crime",3,3,4,5,2,2,0
10222974910,5.28,1,3,Competition,Pride,Elite,2,2,4,2,5,4,3,5,4,2,1,3,1,1,1,3,1,Economic strain,2,1,1,3,1,11,0
10222974970,2.43,1,2,Jsks,Kk,Uss,4,1,2,1,2,2,2,2,1,3,4,5,2,2,1,4,4,She is w ,3,1,4,3,2,3,1
10222975239,0.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10222975956,1.48,1,2,Hbb,Yuu,Jj,2,1,3,1,2,3,3,1,2,3,4,5,5,1,2,1,2,J,3,4,4,2,2,4,0
10222976240,8.6,2,2,Ice skating,Snow boarding ,Gymnastics,1,2,1,2,1,3,2,1,2,3,4,5,2,2,3,3,1,Higher living costs ,1,2,1,2,2,3,0
10222978412,3.78,2,2,Entertaining,Must watch,Long,1,2,3,2,5,5,2,,5,4,,1,2,4,3,3,3,Before- tourist boom; After- struggling economy ,2,2,2,2,2,5,0
10222978463,5.35,1,4,Gold,Bronze ,Silver,1,2,1,3,2,2,1,2,1,3,5,4,4,4,3,3,3,More revenue,3,3,4,4,2,10,0
