Col,SurveyColumn,Question,Pregunta
1,Respondent ID,ID#,
2,Time_in_Minutes,Time for Completion,
3,Q1_LA_Cnty,Do you live in Los Angeles County?,¿Qué tan seguido sigue los deportes profesionales y / o universitarios?
4,Q2_Follow_Sports,How closely do you follow professional and/or college sports?,
5,Q3_Three_Words_1,What three words first come to mind when you think of the Olympics? One,¿Qué tres palabras primero vienen a su mente cuando piensa en los Juegos Olímpicos? Uno
6,Q3_Three_Words_2,What three words first come to mind when you think of the Olympics? One,¿Qué tres palabras primero vienen a su mente cuando piensa en los Juegos Olímpicos? Uno
7,Q3_Three_Words_3,What three words first come to mind when you think of the Olympics? One,¿Qué tres palabras primero vienen a su mente cuando piensa en los Juegos Olímpicos? Uno
8,Q4_2024_2028,How closely have you been following news about LA's bid for the 2024 and 2028 Summer Olympic Games?,¿Con cuánta atención está siguiendo usted las noticias sobre la candidatura de Los Ángeles a los Juegos Olímpicos de Verano para el 2024 y el 2028?
9,Q5_Withdrawn_Bids,Were you previously aware or unaware of how many cities withdrew their bids for the 2024 Summer Games?,¿Estaba usted al corriente de cuántas ciudades habían revocado sus candidaturas para los Juegos de Verano de 2024?
10,Q6_Over_Budget,How concerned or unconcerned are you about the 2028 Summer Olympics going over budget?,¿Cuánto le preocupa que las Olimpiadas de Verano de 2028 excedan el presupuesto fijado?
11,Q7_Overruns,"In your opinion, should LA and California taxpayers be responsible for covering cost overruns from any Olympic Games held in Los Angeles?","En su opinión, ¿deberían los contribuyentes de Los Ángeles y California ser responsables de cubrir los excesos de costos de los Juegos Olímpicos celebrados en Los Ángeles?"
12,Q8_Rising_Rent,How concerned or unconcerned are you about the impact that hosting the Games could have on raising rents in LA?,¿Qué tan preocupado o despreocupado está con respecto al impacto que podría tener el alojamiento de los Juegos en elevar los alquileres en LA?
13,Q9_Displacement,How concerned or unconcerned are you about the impact that hosting the Games could have on LA's homelessness crisis?,¿Qué tan preocupado o despreocupado está usted con respecto al impacto que podría tener la organización de los Juegos en la crisis de las personas sin hogar en Los Ángeles?
14,Q10_NSSE,"How concerned or unconcerned are you about the LAPD coordinating with federal agencies like the Department of Homeland Security, ICE, the Department of Defense, and FBI?","¿Qué tan preocupado o despreocupado está usted con la coordinación del LAPD con agencias federales como el Departamento de Seguridad Nacional, el ICE, el Departamento de Defensa y el FBI?"
15,Q11_Rank_1,"Please rank the following public expenditures in the order that you believe they should be prioritized within the L.A. City budget, with 1 being the highest priority and 5 being the lowest priority.","Por favor, clasifique los siguientes gastos públicos en el orden en que usted cree que deben ser priorizados dentro del presupuesto de la ciudad de Los Ángeles, donde 1 es la prioridad más alta y 5 es la prioridad más baja."
16,Q11_Rank_2,"Please rank the following public expenditures in the order that you believe they should be prioritized within the L.A. City budget, with 1 being the highest priority and 5 being the lowest priority.",
17,Q11_Rank_3,"Please rank the following public expenditures in the order that you believe they should be prioritized within the L.A. City budget, with 1 being the highest priority and 5 being the lowest priority.",
18,Q11_Rank_4,"Please rank the following public expenditures in the order that you believe they should be prioritized within the L.A. City budget, with 1 being the highest priority and 5 being the lowest priority.",
19,Q11_Rank_5,"Please rank the following public expenditures in the order that you believe they should be prioritized within the L.A. City budget, with 1 being the highest priority and 5 being the lowest priority.",
20,Q12_Institutions_City_Council,Do you have a favorable or unfavorable view of the following institutions and organizations involved with bringing the Olympics to Los Angeles?,¿Tiene usted una opinión favorable o desfavorable de las siguientes instituciones y organizaciones involucradas en traer las Olimpiadas a Los Ángeles?
21,Q12_Institutions_Trump,Do you have a favorable or unfavorable view of the following institutions and organizations involved with bringing the Olympics to Los Angeles?,
22,Q12_Institutions_USOC,Do you have a favorable or unfavorable view of the following institutions and organizations involved with bringing the Olympics to Los Angeles?,
23,Q12_Institutions_IOC,Do you have a favorable or unfavorable view of the following institutions and organizations involved with bringing the Olympics to Los Angeles?,
24,Q12_Institutions_LA2028,Do you have a favorable or unfavorable view of the following institutions and organizations involved with bringing the Olympics to Los Angeles?,
25,Q13_Impact_LA,What impact do you think the Olympics will have on LA before and after the Games?,Qué impacto cree usted que las Olimpiadas tendrán sobre Los Ángeles antes y después de los Juegos?
26,Q14_Impact_Your_Life,What impact do you think that hosting the 2028 Summer Olympics in Los Angeles will have on your life?,¿Qué impacto cree que tendrá en su vida la organización de los Juegos Olímpicos de Verano para el año 2028 en Los Ángeles?
27,Q15_Impact_Change,How has learning more about LA's bid for the 2028 Summer Olympics changed your opinion of how the Games will impact the city? ,¿De qué manera el hecho de aprender más sobre la candidatura de Los Ángeles para los Juegos Olímpicos de Verano de 2028 ha cambiado su opinión sobre cómo los Juegos afectarán a la ciudad?
28,Q16_Supportive,How supportive or opposed are you of the City of Los Angeles hosting the Summer Olympic Games in 2028?,¿Está usted a favor o en contra de que la ciudad de Los Ángeles celebre los Juegos Olímpicos de Verano en 2028? ¿Y en qué medida?
29,Age,Age,
30,Gender,Gender,
31,HH_Income,HH Income,
32,Bad_Response_Flag,Bad Response Flag,
33,Q2_Follow_Sports3,,
